Serial No.		Street Name				Closure type
178			701 n. sacramento			No Street full closure
179			701 n. sacramento			No Street full closure
180			701 n. sacramento			No Street full closure
181			10300 s. doty			No Street full closure
182			701 n. sacramento			No Street full closure
183			701 n. sacramento			No Street full closure
184			701 n. sacramento			No Street full closure
185			400 e. lower wacker			No Street full closure
186			701 n. sacramento			No Street full closure
187			701 n. sacramento			No Street full closure
188			10300 s. doty			No Street full closure
189			10300 s. doty			No Street full closure
190			701 n. sacramento			No Street full closure
191			701 n. sacramento			No Street full closure
192			701 n. sacramento			No Street full closure
193			701 n. sacramento			No Street full closure
194			400 e. lower wacker			No Street full closure
195			701 n. sacramento			No Street full closure
196			701 n. sacramento			No Street full closure
197			10300 s. doty			No Street full closure
198			10300 s. doty			No Street full closure
199			701 n. sacramento			No Street full closure
200			701 n. sacramento			No Street full closure
201			701 n. sacramento			No Street full closure
202			701 n. sacramento			No Street full closure
203			10300 s. doty			No Street full closure
204			701 n. sacramento			No Street full closure
205			10300 s. doty			No Street full closure
206			701 n. sacramento			No Street full closure
207			701 n. sacramento			No Street full closure
208			701 n. sacramento			No Street full closure
209			10300 s. doty			No Street full closure
210			701 n. sacramento			No Street full closure
211			701 n. sacramento			No Street full closure
212			10300 s. doty			No Street full closure
213			701 n. sacramento			No Street full closure
214			701 n. sacramento			No Street full closure
215			701 n. sacramento			No Street full closure
216			701 n. sacramento			No Street full closure
217			701 n. sacramento			No Street full closure
218			701 n. sacramento			No Street full closure
219			701 n. sacramento			No Street full closure
220			10300 s. doty			No Street full closure
221			10300 s. doty			No Street full closure
222			701 n. sacramento			No Street full closure
223			10300 s. doty			No Street full closure
224			10300 s. doty			No Street full closure
225			10300 s. doty			No Street full closure
226			701 n. sacramento			No Street full closure
227			701 n. sacramento			No Street full closure
228			701 n. sacramento			No Street full closure
229			701 n. sacramento			No Street full closure
230			10300 s. doty			No Street full closure
231			701 n. sacramento			No Street full closure
232			400 e. lower wacker			No Street full closure
233			10300 s. doty			No Street full closure
234			400 e. lower wacker			No Street full closure
235			10300 s. doty			No Street full closure
236			400 e. lower wacker			No Street full closure
237			10300 s. doty			No Street full closure
238			10300 s. doty			No Street full closure
239			701 n. sacramento			No Street full closure
240			701 n. sacramento			No Street full closure
241			701 n. sacramento			No Street full closure
242			701 n. sacramento			No Street full closure
243			701 n. sacramento			No Street full closure
244			10300 s. doty			No Street full closure
245			701 n. sacramento			No Street full closure
246			10300 s. doty			No Street full closure
247			701 n. sacramento			No Street full closure
248			701 n. sacramento			No Street full closure
249			10300 s. doty			No Street full closure
250			10300 s. doty			No Street full closure
251			701 n. sacramento			No Street full closure
252			701 n. sacramento			No Street full closure
253			701 n. sacramento			No Street full closure
254			10300 s. doty			No Street full closure
255			701 n. sacramento			No Street full closure
256			10300 s. doty			No Street full closure
257			10300 s. doty			No Street full closure
258			10300 s. doty			No Street full closure
259			701 n. sacramento			No Street full closure
260			10300 s. doty			No Street full closure
261			701 n. sacramento			No Street full closure
262			701 n. sacramento			No Street full closure
263			701 n. sacramento			No Street full closure
264			701 n. sacramento			No Street full closure
265			701 n. sacramento			No Street full closure
266			701 n. sacramento			No Street full closure
267			701 n. sacramento			No Street full closure
268			701 n. sacramento			No Street full closure
269			701 n. sacramento			No Street full closure
270			701 n. sacramento			No Street full closure
271			10300 s. doty			No Street full closure
272			701 n. sacramento			No Street full closure
273			701 n. sacramento			No Street full closure
274			701 n. sacramento			No Street full closure
275			10300 s. doty			No Street full closure
276			701 n. sacramento			No Street full closure
277			10300 s. doty			No Street full closure
278			701 n. sacramento			No Street full closure
279			701 n. sacramento			No Street full closure
280			10300 s. doty			No Street full closure
281			701 n. sacramento			No Street full closure
282			701 n. sacramento			No Street full closure
283			10300 s. doty			No Street full closure
284			701 n. sacramento			No Street full closure
285			701 n. sacramento			No Street full closure
286			10300 s. doty			No Street full closure
287			10300 s. doty			No Street full closure
288			701 n. sacramento			No Street full closure
289			701 n. sacramento			No Street full closure
290			701 n. sacramento			No Street full closure
291			701 n. sacramento			No Street full closure
292			701 n. sacramento			No Street full closure
293			701 n. sacramento			No Street full closure
294			10300 s. doty			No Street full closure
295			10300 s. doty			No Street full closure
296			10300 s. doty			No Street full closure
297			701 n. sacramento			No Street full closure
298			701 n. sacramento			No Street full closure
299			701 n. sacramento			No Street full closure
300			400 e. lower wacker			No Street full closure
301			10300 s. doty			No Street full closure
302			701 n. sacramento			No Street full closure
303			10300 s. doty			No Street full closure
304			701 n. sacramento			No Street full closure
305			400 e. lower wacker			No Street full closure
306			701 n. sacramento			No Street full closure
307			701 n. sacramento			No Street full closure
308			701 n. sacramento			No Street full closure
309			701 n. sacramento			No Street full closure
310			701 n. sacramento			No Street full closure
311			701 n. sacramento			No Street full closure
312			701 n. sacramento			No Street full closure
313			701 n. sacramento			No Street full closure
314			400 e. lower wacker			No Street full closure
315			701 n. sacramento			No Street full closure
316			701 n. sacramento			No Street full closure
317			701 n. sacramento			No Street full closure
318			701 n. sacramento			No Street full closure
319			701 n. sacramento			No Street full closure
320			701 n. sacramento			No Street full closure
321			701 n. sacramento			No Street full closure
322			701 n. sacramento			No Street full closure
323			10300 s. doty			No Street full closure
324			701 n. sacramento			No Street full closure
325			701 n. sacramento			No Street full closure
326			701 n. sacramento			No Street full closure
327			701 n. sacramento			No Street full closure
328			701 n. sacramento			No Street full closure
329			10300 s. doty			No Street full closure
330			701 n. sacramento			No Street full closure
331			701 n. sacramento			No Street full closure
332			10300 s. doty			No Street full closure
333			701 n. sacramento			No Street full closure
334			701 n. sacramento			No Street full closure
335			10300 s. doty			No Street full closure
336			10300 s. doty			No Street full closure
337			701 n. sacramento			No Street full closure
338			701 n. sacramento			No Street full closure
339			701 n. sacramento			No Street full closure
340			701 n. sacramento			No Street full closure
341			701 n. sacramento			No Street full closure
342			701 n. sacramento			No Street full closure
343			10300 s. doty			No Street full closure
344			701 n. sacramento			No Street full closure
345			10300 s. doty			No Street full closure
346			701 n. sacramento			No Street full closure
347			701 n. sacramento			No Street full closure
348			701 n. sacramento			No Street full closure
349			701 n. sacramento			No Street full closure
350			701 n. sacramento			No Street full closure
351			10300 s. doty			No Street full closure
352			10300 s. doty			No Street full closure
353			701 n. sacramento			No Street full closure
354			10300 s. doty			No Street full closure
355			10300 s. doty			No Street full closure
356			10300 s. doty			No Street full closure
357			701 n. sacramento			No Street full closure
358			701 n. sacramento			No Street full closure
359			10300 s. doty			No Street full closure
360			701 n. sacramento			No Street full closure
361			701 n. sacramento			No Street full closure
362			10300 s. doty			No Street full closure
363			701 n. sacramento			No Street full closure
364			701 n. sacramento			No Street full closure
365			701 n. sacramento			No Street full closure
366			701 n. sacramento			No Street full closure
367			701 n. sacramento			No Street full closure
368			701 n. sacramento			No Street full closure
369			10300 s. doty			No Street full closure
370			10300 s. doty			No Street full closure
371			701 n. sacramento			No Street full closure
372			701 n. sacramento			No Street full closure
373			701 n. sacramento			No Street full closure
374			10300 s. doty			No Street full closure
375			10300 s. doty			No Street full closure
376			701 n. sacramento			No Street full closure
377			701 n. sacramento			No Street full closure
378			701 n. sacramento			No Street full closure
379			701 n. sacramento			No Street full closure
380			701 n. sacramento			No Street full closure
381			701 n. sacramento			No Street full closure
382			10300 s. doty			No Street full closure
383			701 n. sacramento			No Street full closure
384			10300 s. doty			No Street full closure
385			10300 s. doty			No Street full closure
386			701 n. sacramento			No Street full closure
387			10300 s. doty			No Street full closure
388			701 n. sacramento			No Street full closure
389			10300 s. doty			No Street full closure
390			10300 s. doty			No Street full closure
391			701 n. sacramento			No Street full closure
392			701 n. sacramento			No Street full closure
393			701 n. sacramento			No Street full closure
394			701 n. sacramento			No Street full closure
395			10300 s. doty			No Street full closure
396			10300 s. doty			No Street full closure
397			10300 s. doty			No Street full closure
398			701 n. sacramento			No Street full closure
399			10300 s. doty			No Street full closure
400			10300 s. doty			No Street full closure
401			701 n. sacramento			No Street full closure
402			701 n. sacramento			No Street full closure
403			10300 s. doty			No Street full closure
404			701 n. sacramento			No Street full closure
405			10300 s. doty			No Street full closure
406			10300 s. doty			No Street full closure
407			400 e. lower wacker			No Street full closure
