Serial No.		Street Name				Closure type
1267			701 n. sacramento			No Street full closure
1268			10300 s. doty			No Street full closure
1269			10300 s. doty			No Street full closure
1270			701 n. sacramento			No Street full closure
1271			701 n. sacramento			No Street full closure
1272			701 n. sacramento			No Street full closure
1273			10300 s. doty			No Street full closure
1274			701 n. sacramento			No Street full closure
1275			701 n. sacramento			No Street full closure
1276			701 n. sacramento			No Street full closure
1277			10300 s. doty			No Street full closure
1278			701 n. sacramento			No Street full closure
1279			10300 s. doty			No Street full closure
1280			701 n. sacramento			No Street full closure
1281			701 n. sacramento			No Street full closure
1282			10300 s. doty			No Street full closure
1283			10300 s. doty			No Street full closure
1284			10300 s. doty			No Street full closure
1285			701 n. sacramento			No Street full closure
1286			701 n. sacramento			No Street full closure
1287			10300 s. doty			No Street full closure
1288			701 n. sacramento			No Street full closure
1289			10300 s. doty			No Street full closure
1290			10300 s. doty			No Street full closure
1291			701 n. sacramento			No Street full closure
1292			10300 s. doty			No Street full closure
1293			701 n. sacramento			No Street full closure
1294			701 n. sacramento			No Street full closure
1295			701 n. sacramento			No Street full closure
1296			10300 s. doty			No Street full closure
1297			701 n. sacramento			No Street full closure
1298			10300 s. doty			No Street full closure
1299			701 n. sacramento			No Street full closure
1300			10300 s. doty			No Street full closure
1301			10300 s. doty			No Street full closure
1302			10300 s. doty			No Street full closure
1303			10300 s. doty			No Street full closure
1304			10300 s. doty			No Street full closure
1305			701 n. sacramento			No Street full closure
1306			701 n. sacramento			No Street full closure
1307			701 n. sacramento			No Street full closure
1308			701 n. sacramento			No Street full closure
1309			701 n. sacramento			No Street full closure
1310			701 n. sacramento			No Street full closure
1311			701 n. sacramento			No Street full closure
1312			10300 s. doty			No Street full closure
1313			10300 s. doty			No Street full closure
1314			701 n. sacramento			No Street full closure
1315			701 n. sacramento			No Street full closure
1316			701 n. sacramento			No Street full closure
1317			10300 s. doty			No Street full closure
1318			10300 s. doty			No Street full closure
1319			701 n. sacramento			No Street full closure
1320			701 n. sacramento			No Street full closure
1321			701 n. sacramento			No Street full closure
1322			701 n. sacramento			No Street full closure
1323			701 n. sacramento			No Street full closure
1324			10300 s. doty			No Street full closure
1325			701 n. sacramento			No Street full closure
1326			701 n. sacramento			No Street full closure
1327			701 n. sacramento			No Street full closure
1328			701 n. sacramento			No Street full closure
1329			701 n. sacramento			No Street full closure
1330			701 n. sacramento			No Street full closure
1331			10300 s. doty			No Street full closure
1332			10300 s. doty			No Street full closure
1333			701 n. sacramento			No Street full closure
1334			701 n. sacramento			No Street full closure
1335			701 n. sacramento			No Street full closure
1336			701 n. sacramento			No Street full closure
1337			10300 s. doty			No Street full closure
1338			701 n. sacramento			No Street full closure
1339			10300 s. doty			No Street full closure
1340			10300 s. doty			No Street full closure
1341			10300 s. doty			No Street full closure
1342			701 n. sacramento			No Street full closure
1343			701 n. sacramento			No Street full closure
1344			10300 s. doty			No Street full closure
1345			10300 s. doty			No Street full closure
1346			701 n. sacramento			No Street full closure
1347			701 n. sacramento			No Street full closure
1348			10300 s. doty			No Street full closure
1349			10300 s. doty			No Street full closure
1350			10300 s. doty			No Street full closure
1351			10300 s. doty			No Street full closure
1352			701 n. sacramento			No Street full closure
1353			701 n. sacramento			No Street full closure
1354			701 n. sacramento			No Street full closure
1355			701 n. sacramento			No Street full closure
1356			10300 s. doty			No Street full closure
1357			701 n. sacramento			No Street full closure
1358			701 n. sacramento			No Street full closure
1359			701 n. sacramento			No Street full closure
1360			10300 s. doty			No Street full closure
1361			701 n. sacramento			No Street full closure
1362			701 n. sacramento			No Street full closure
1363			10300 s. doty			No Street full closure
1364			10300 s. doty			No Street full closure
1365			701 n. sacramento			No Street full closure
1366			10300 s. doty			No Street full closure
1367			701 n. sacramento			No Street full closure
1368			10300 s. doty			No Street full closure
1369			400 e. lower wacker			No Street full closure
1370			701 n. sacramento			No Street full closure
1371			701 n. sacramento			No Street full closure
1372			701 n. sacramento			No Street full closure
1373			701 n. sacramento			No Street full closure
1374			10300 s. doty			No Street full closure
1375			701 n. sacramento			No Street full closure
1376			10300 s. doty			No Street full closure
1377			10300 s. doty			No Street full closure
1378			10300 s. doty			No Street full closure
1379			10300 s. doty			No Street full closure
1380			10300 s. doty			No Street full closure
1381			701 n. sacramento			No Street full closure
1382			10300 s. doty			No Street full closure
1383			701 n. sacramento			No Street full closure
1384			701 n. sacramento			No Street full closure
1385			701 n. sacramento			No Street full closure
1386			701 n. sacramento			No Street full closure
1387			701 n. sacramento			No Street full closure
1388			10300 s. doty			No Street full closure
1389			701 n. sacramento			No Street full closure
1390			701 n. sacramento			No Street full closure
1391			701 n. sacramento			No Street full closure
1392			10300 s. doty			No Street full closure
1393			10300 s. doty			No Street full closure
1394			701 n. sacramento			No Street full closure
1395			10300 s. doty			No Street full closure
1396			10300 s. doty			No Street full closure
1397			701 n. sacramento			No Street full closure
1398			10300 s. doty			No Street full closure
1399			701 n. sacramento			No Street full closure
1400			10300 s. doty			No Street full closure
1401			10300 s. doty			No Street full closure
1402			10300 s. doty			No Street full closure
1403			701 n. sacramento			No Street full closure
1404			10300 s. doty			No Street full closure
1405			701 n. sacramento			No Street full closure
1406			701 n. sacramento			No Street full closure
1407			10300 s. doty			No Street full closure
1408			701 n. sacramento			No Street full closure
1409			10300 s. doty			No Street full closure
1410			701 n. sacramento			No Street full closure
1411			10300 s. doty			No Street full closure
1412			701 n. sacramento			No Street full closure
1413			10300 s. doty			No Street full closure
1414			10300 s. doty			No Street full closure
1415			701 n. sacramento			No Street full closure
1416			701 n. sacramento			No Street full closure
1417			10300 s. doty			No Street full closure
1418			701 n. sacramento			No Street full closure
1419			701 n. sacramento			No Street full closure
1420			10300 s. doty			No Street full closure
1421			701 n. sacramento			No Street full closure
1422			10300 s. doty			No Street full closure
1423			701 n. sacramento			No Street full closure
1424			10300 s. doty			No Street full closure
1425			701 n. sacramento			No Street full closure
1426			10300 s. doty			No Street full closure
1427			701 n. sacramento			No Street full closure
1428			10300 s. doty			No Street full closure
1429			701 n. sacramento			No Street full closure
1430			10300 s. doty			No Street full closure
1431			10300 s. doty			No Street full closure
1432			701 n. sacramento			No Street full closure
1433			10300 s. doty			No Street full closure
1434			701 n. sacramento			No Street full closure
1435			701 n. sacramento			No Street full closure
1436			701 n. sacramento			No Street full closure
1437			701 n. sacramento			No Street full closure
1438			701 n. sacramento			No Street full closure
1439			701 n. sacramento			No Street full closure
1440			701 n. sacramento			No Street full closure
1441			701 n. sacramento			No Street full closure
1442			701 n. sacramento			No Street full closure
1443			10300 s. doty			No Street full closure
1444			10300 s. doty			No Street full closure
1445			701 n. sacramento			No Street full closure
1446			701 n. sacramento			No Street full closure
1447			701 n. sacramento			No Street full closure
1448			701 n. sacramento			No Street full closure
1449			10300 s. doty			No Street full closure
1450			701 n. sacramento			No Street full closure
1451			10300 s. doty			No Street full closure
1452			701 n. sacramento			No Street full closure
1453			10300 s. doty			No Street full closure
1454			701 n. sacramento			No Street full closure
1455			10300 s. doty			No Street full closure
1456			10300 s. doty			No Street full closure
1457			10300 s. doty			No Street full closure
1458			10300 s. doty			No Street full closure
1459			10300 s. doty			No Street full closure
1460			701 n. sacramento			No Street full closure
1461			10300 s. doty			No Street full closure
1462			701 n. sacramento			No Street full closure
1463			10300 s. doty			No Street full closure
1464			701 n. sacramento			No Street full closure
1465			701 n. sacramento			No Street full closure
1466			701 n. sacramento			No Street full closure
1467			701 n. sacramento			No Street full closure
1468			701 n. sacramento			No Street full closure
1469			701 n. sacramento			No Street full closure
1470			701 n. sacramento			No Street full closure
1471			chicago o'hare international airport remote lot e.			No Street full closure
1472			701 n. sacramento			No Street full closure
1473			701 n. sacramento			No Street full closure
1474			701 n. sacramento			No Street full closure
1475			701 n. sacramento			No Street full closure
1476			701 n. sacramento			No Street full closure
1477			701 n. sacramento			No Street full closure
1478			10300 s. doty			No Street full closure
1479			10300 s. doty			No Street full closure
1480			701 n. sacramento			No Street full closure
1481			701 n. sacramento			No Street full closure
1482			10300 s. doty			No Street full closure
1483			400 e. lower wacker			No Street full closure
1484			701 n. sacramento			No Street full closure
1485			701 n. sacramento			No Street full closure
1486			10300 s. doty			No Street full closure
1487			10300 s. doty			No Street full closure
1488			10300 s. doty			No Street full closure
1489			701 n. sacramento			No Street full closure
1490			10300 s. doty			No Street full closure
1491			701 n. sacramento			No Street full closure
1492			10300 s. doty			No Street full closure
1493			701 n. sacramento			No Street full closure
1494			701 n. sacramento			No Street full closure
1495			701 n. sacramento			No Street full closure
1496			701 n. sacramento			No Street full closure
1497			701 n. sacramento			No Street full closure
1498			10300 s. doty			No Street full closure
1499			10300 s. doty			No Street full closure
1500			701 n. sacramento			No Street full closure
1501			701 n. sacramento			No Street full closure
1502			701 n. sacramento			No Street full closure
1503			10300 s. doty			No Street full closure
1504			10300 s. doty			No Street full closure
1505			701 n. sacramento			No Street full closure
1506			10300 s. doty			No Street full closure
1507			10300 s. doty			No Street full closure
1508			10300 s. doty			No Street full closure
1509			701 n. sacramento			No Street full closure
1510			10300 s. doty			No Street full closure
1511			701 n. sacramento			No Street full closure
1512			701 n. sacramento			No Street full closure
1513			10300 s. doty			No Street full closure
1514			701 n. sacramento			No Street full closure
1515			10300 s. doty			No Street full closure
1516			701 n. sacramento			No Street full closure
1517			10300 s. doty			No Street full closure
1518			10300 s. doty			No Street full closure
1519			701 n. sacramento			No Street full closure
1520			10300 s. doty			No Street full closure
1521			701 n. sacramento			No Street full closure
1522			701 n. sacramento			No Street full closure
1523			701 n. sacramento			No Street full closure
1524			701 n. sacramento			No Street full closure
1525			701 n. sacramento			No Street full closure
1526			701 n. sacramento			No Street full closure
1527			701 n. sacramento			No Street full closure
1528			701 n. sacramento			No Street full closure
1529			chicago o'hare international airport remote lot e.			No Street full closure
1530			701 n. sacramento			No Street full closure
1531			10300 s. doty			No Street full closure
1532			701 n. sacramento			No Street full closure
1533			701 n. sacramento			No Street full closure
1534			10300 s. doty			No Street full closure
1535			701 n. sacramento			No Street full closure
1536			10300 s. doty			No Street full closure
1537			10300 s. doty			No Street full closure
1538			10300 s. doty			No Street full closure
1539			701 n. sacramento			No Street full closure
1540			701 n. sacramento			No Street full closure
1541			701 n. sacramento			No Street full closure
1542			701 n. sacramento			No Street full closure
1543			10300 s. doty			No Street full closure
1544			10300 s. doty			No Street full closure
1545			701 n. sacramento			No Street full closure
1546			701 n. sacramento			No Street full closure
1547			701 n. sacramento			No Street full closure
1548			10300 s. doty			No Street full closure
1549			701 n. sacramento			No Street full closure
1550			701 n. sacramento			No Street full closure
1551			701 n. sacramento			No Street full closure
1552			10300 s. doty			No Street full closure
1553			10300 s. doty			No Street full closure
1554			701 n. sacramento			No Street full closure
1555			701 n. sacramento			No Street full closure
1556			10300 s. doty			No Street full closure
1557			701 n. sacramento			No Street full closure
1558			701 n. sacramento			No Street full closure
1559			701 n. sacramento			No Street full closure
1560			701 n. sacramento			No Street full closure
1561			701 n. sacramento			No Street full closure
1562			701 n. sacramento			No Street full closure
1563			10300 s. doty			No Street full closure
1564			10300 s. doty			No Street full closure
1565			701 n. sacramento			No Street full closure
1566			701 n. sacramento			No Street full closure
1567			701 n. sacramento			No Street full closure
1568			701 n. sacramento			No Street full closure
1569			701 n. sacramento			No Street full closure
1570			701 n. sacramento			No Street full closure
1571			701 n. sacramento			No Street full closure
1572			10300 s. doty			No Street full closure
1573			701 n. sacramento			No Street full closure
1574			701 n. sacramento			No Street full closure
1575			701 n. sacramento			No Street full closure
1576			701 n. sacramento			No Street full closure
1577			701 n. sacramento			No Street full closure
1578			10300 s. doty			No Street full closure
1579			10300 s. doty			No Street full closure
1580			10300 s. doty			No Street full closure
1581			701 n. sacramento			No Street full closure
1582			701 n. sacramento			No Street full closure
1583			701 n. sacramento			No Street full closure
1584			400 e. lower wacker			No Street full closure
1585			400 e. lower wacker			No Street full closure
1586			10300 s. doty			No Street full closure
1587			701 n. sacramento			No Street full closure
1588			701 n. sacramento			No Street full closure
1589			701 n. sacramento			No Street full closure
1590			10300 s. doty			No Street full closure
1591			701 n. sacramento			No Street full closure
1592			10300 s. doty			No Street full closure
1593			701 n. sacramento			No Street full closure
1594			10300 s. doty			No Street full closure
1595			10300 s. doty			No Street full closure
1596			10300 s. doty			No Street full closure
1597			701 n. sacramento			No Street full closure
1598			10300 s. doty			No Street full closure
1599			10300 s. doty			No Street full closure
1600			701 n. sacramento			No Street full closure
1601			701 n. sacramento			No Street full closure
1602			10300 s. doty			No Street full closure
1603			10300 s. doty			No Street full closure
1604			10300 s. doty			No Street full closure
1605			701 n. sacramento			No Street full closure
1606			10300 s. doty			No Street full closure
1607			701 n. sacramento			No Street full closure
1608			701 n. sacramento			No Street full closure
1609			701 n. sacramento			No Street full closure
1610			701 n. sacramento			No Street full closure
1611			701 n. sacramento			No Street full closure
1612			10300 s. doty			No Street full closure
1613			701 n. sacramento			No Street full closure
1614			10300 s. doty			No Street full closure
1615			10300 s. doty			No Street full closure
1616			701 n. sacramento			No Street full closure
1617			10300 s. doty			No Street full closure
1618			701 n. sacramento			No Street full closure
1619			701 n. sacramento			No Street full closure
1620			701 n. sacramento			No Street full closure
1621			701 n. sacramento			No Street full closure
1622			701 n. sacramento			No Street full closure
1623			10300 s. doty			No Street full closure
1624			10300 s. doty			No Street full closure
1625			701 n. sacramento			No Street full closure
1626			10300 s. doty			No Street full closure
1627			701 n. sacramento			No Street full closure
1628			10300 s. doty			No Street full closure
1629			10300 s. doty			No Street full closure
1630			701 n. sacramento			No Street full closure
1631			701 n. sacramento			No Street full closure
1632			10300 s. doty			No Street full closure
1633			701 n. sacramento			No Street full closure
1634			10300 s. doty			No Street full closure
1635			10300 s. doty			No Street full closure
1636			10300 s. doty			No Street full closure
1637			701 n. sacramento			No Street full closure
1638			10300 s. doty			No Street full closure
1639			10300 s. doty			No Street full closure
1640			10300 s. doty			No Street full closure
1641			701 n. sacramento			No Street full closure
1642			10300 s. doty			No Street full closure
1643			701 n. sacramento			No Street full closure
1644			701 n. sacramento			No Street full closure
1645			701 n. sacramento			No Street full closure
1646			10300 s. doty			No Street full closure
1647			701 n. sacramento			No Street full closure
1648			10300 s. doty			No Street full closure
1649			400 e. lower wacker			No Street full closure
1650			10300 s. doty			No Street full closure
1651			10300 s. doty			No Street full closure
1652			10300 s. doty			No Street full closure
1653			701 n. sacramento			No Street full closure
1654			701 n. sacramento			No Street full closure
1655			10300 s. doty			No Street full closure
1656			701 n. sacramento			No Street full closure
1657			701 n. sacramento			No Street full closure
1658			10300 s. doty			No Street full closure
1659			10300 s. doty			No Street full closure
1660			701 n. sacramento			No Street full closure
1661			10300 s. doty			No Street full closure
1662			701 n. sacramento			No Street full closure
1663			701 n. sacramento			No Street full closure
1664			701 n. sacramento			No Street full closure
1665			701 n. sacramento			No Street full closure
1666			701 n. sacramento			No Street full closure
1667			701 n. sacramento			No Street full closure
1668			701 n. sacramento			No Street full closure
1669			10300 s. doty			No Street full closure
1670			10300 s. doty			No Street full closure
1671			10300 s. doty			No Street full closure
1672			701 n. sacramento			No Street full closure
1673			10300 s. doty			No Street full closure
1674			10300 s. doty			No Street full closure
1675			10300 s. doty			No Street full closure
1676			701 n. sacramento			No Street full closure
1677			701 n. sacramento			No Street full closure
1678			701 n. sacramento			No Street full closure
1679			10300 s. doty			No Street full closure
1680			10300 s. doty			No Street full closure
1681			701 n. sacramento			No Street full closure
1682			701 n. sacramento			No Street full closure
1683			701 n. sacramento			No Street full closure
1684			10300 s. doty			No Street full closure
1685			10300 s. doty			No Street full closure
1686			701 n. sacramento			No Street full closure
1687			701 n. sacramento			No Street full closure
1688			10300 s. doty			No Street full closure
1689			701 n. sacramento			No Street full closure
1690			701 n. sacramento			No Street full closure
1691			10300 s. doty			No Street full closure
1692			701 n. sacramento			No Street full closure
1693			701 n. sacramento			No Street full closure
1694			10300 s. doty			No Street full closure
1695			10300 s. doty			No Street full closure
1696			10300 s. doty			No Street full closure
1697			701 n. sacramento			No Street full closure
1698			10300 s. doty			No Street full closure
1699			701 n. sacramento			No Street full closure
1700			10300 s. doty			No Street full closure
1701			10300 s. doty			No Street full closure
1702			10300 s. doty			No Street full closure
1703			701 n. sacramento			No Street full closure
1704			701 n. sacramento			No Street full closure
1705			10300 s. doty			No Street full closure
1706			10300 s. doty			No Street full closure
1707			701 n. sacramento			No Street full closure
1708			10300 s. doty			No Street full closure
1709			10300 s. doty			No Street full closure
1710			10300 s. doty			No Street full closure
1711			10300 s. doty			No Street full closure
1712			10300 s. doty			No Street full closure
1713			10300 s. doty			No Street full closure
1714			701 n. sacramento			No Street full closure
1715			701 n. sacramento			No Street full closure
1716			701 n. sacramento			No Street full closure
1717			10300 s. doty			No Street full closure
1718			701 n. sacramento			No Street full closure
1719			10300 s. doty			No Street full closure
1720			701 n. sacramento			No Street full closure
1721			10300 s. doty			No Street full closure
1722			701 n. sacramento			No Street full closure
1723			10300 s. doty			No Street full closure
1724			10300 s. doty			No Street full closure
1725			10300 s. doty			No Street full closure
1726			10300 s. doty			No Street full closure
1727			10300 s. doty			No Street full closure
1728			10300 s. doty			No Street full closure
1729			701 n. sacramento			No Street full closure
1730			400 e. lower wacker			No Street full closure
1731			10300 s. doty			No Street full closure
1732			10300 s. doty			No Street full closure
1733			10300 s. doty			No Street full closure
1734			10300 s. doty			No Street full closure
1735			10300 s. doty			No Street full closure
1736			10300 s. doty			No Street full closure
1737			701 n. sacramento			No Street full closure
1738			701 n. sacramento			No Street full closure
1739			10300 s. doty			No Street full closure
1740			10300 s. doty			No Street full closure
1741			10300 s. doty			No Street full closure
1742			10300 s. doty			No Street full closure
1743			10300 s. doty			No Street full closure
1744			701 n. sacramento			No Street full closure
1745			701 n. sacramento			No Street full closure
1746			701 n. sacramento			No Street full closure
1747			701 n. sacramento			No Street full closure
1748			10300 s. doty			No Street full closure
1749			10300 s. doty			No Street full closure
1750			701 n. sacramento			No Street full closure
1751			701 n. sacramento			No Street full closure
1752			10300 s. doty			No Street full closure
1753			701 n. sacramento			No Street full closure
1754			10300 s. doty			No Street full closure
1755			701 n. sacramento			No Street full closure
1756			10300 s. doty			No Street full closure
1757			10300 s. doty			No Street full closure
1758			10300 s. doty			No Street full closure
1759			10300 s. doty			No Street full closure
1760			10300 s. doty			No Street full closure
1761			10300 s. doty			No Street full closure
1762			701 n. sacramento			No Street full closure
1763			701 n. sacramento			No Street full closure
1764			10300 s. doty			No Street full closure
1765			701 n. sacramento			No Street full closure
1766			10300 s. doty			No Street full closure
1767			400 e. lower wacker			No Street full closure
1768			701 n. sacramento			No Street full closure
1769			701 n. sacramento			No Street full closure
1770			701 n. sacramento			No Street full closure
1771			701 n. sacramento			No Street full closure
1772			10300 s. doty			No Street full closure
1773			701 n. sacramento			No Street full closure
1774			10300 s. doty			No Street full closure
1775			10300 s. doty			No Street full closure
1776			10300 s. doty			No Street full closure
1777			701 n. sacramento			No Street full closure
1778			10300 s. doty			No Street full closure
1779			701 n. sacramento			No Street full closure
1780			701 n. sacramento			No Street full closure
1781			701 n. sacramento			No Street full closure
1782			701 n. sacramento			No Street full closure
1783			701 n. sacramento			No Street full closure
1784			10300 s. doty			No Street full closure
1785			701 n. sacramento			No Street full closure
1786			701 n. sacramento			No Street full closure
1787			701 n. sacramento			No Street full closure
1788			10300 s. doty			No Street full closure
1789			701 n. sacramento			No Street full closure
1790			701 n. sacramento			No Street full closure
1791			10300 s. doty			No Street full closure
1792			10300 s. doty			No Street full closure
1793			10300 s. doty			No Street full closure
1794			10300 s. doty			No Street full closure
1795			10300 s. doty			No Street full closure
1796			10300 s. doty			No Street full closure
1797			10300 s. doty			No Street full closure
1798			10300 s. doty			No Street full closure
1799			10300 s. doty			No Street full closure
1800			10300 s. doty			No Street full closure
1801			10300 s. doty			No Street full closure
1802			701 n. sacramento			No Street full closure
1803			10300 s. doty			No Street full closure
1804			10300 s. doty			No Street full closure
1805			701 n. sacramento			No Street full closure
1806			10300 s. doty			No Street full closure
1807			701 n. sacramento			No Street full closure
1808			10300 s. doty			No Street full closure
1809			10300 s. doty			No Street full closure
1810			701 n. sacramento			No Street full closure
1811			701 n. sacramento			No Street full closure
1812			10300 s. doty			No Street full closure
1813			10300 s. doty			No Street full closure
1814			10300 s. doty			No Street full closure
1815			10300 s. doty			No Street full closure
1816			701 n. sacramento			No Street full closure
1817			10300 s. doty			No Street full closure
1818			10300 s. doty			No Street full closure
1819			10300 s. doty			No Street full closure
1820			10300 s. doty			No Street full closure
1821			10300 s. doty			No Street full closure
1822			10300 s. doty			No Street full closure
1823			10300 s. doty			No Street full closure
1824			10300 s. doty			No Street full closure
1825			10300 s. doty			No Street full closure
1826			10300 s. doty			No Street full closure
1827			10300 s. doty			No Street full closure
1828			10300 s. doty			No Street full closure
1829			10300 s. doty			No Street full closure
1830			10300 s. doty			No Street full closure
1831			10300 s. doty			No Street full closure
1832			10300 s. doty			No Street full closure
1833			10300 s. doty			No Street full closure
1834			701 n. sacramento			No Street full closure
1835			10300 s. doty			No Street full closure
1836			10300 s. doty			No Street full closure
1837			701 n. sacramento			No Street full closure
1838			701 n. sacramento			No Street full closure
1839			701 n. sacramento			No Street full closure
1840			10300 s. doty			No Street full closure
1841			701 n. sacramento			No Street full closure
1842			701 n. sacramento			No Street full closure
1843			10300 s. doty			No Street full closure
1844			10300 s. doty			No Street full closure
1845			10300 s. doty			No Street full closure
1846			10300 s. doty			No Street full closure
1847			701 n. sacramento			No Street full closure
1848			10300 s. doty			No Street full closure
1849			701 n. sacramento			No Street full closure
1850			10300 s. doty			No Street full closure
1851			10300 s. doty			No Street full closure
1852			10300 s. doty			No Street full closure
1853			10300 s. doty			No Street full closure
1854			701 n. sacramento			No Street full closure
1855			10300 s. doty			No Street full closure
1856			10300 s. doty			No Street full closure
1857			10300 s. doty			No Street full closure
1858			10300 s. doty			No Street full closure
1859			10300 s. doty			No Street full closure
1860			701 n. sacramento			No Street full closure
1861			10300 s. doty			No Street full closure
1862			701 n. sacramento			No Street full closure
1863			10300 s. doty			No Street full closure
1864			701 n. sacramento			No Street full closure
1865			10300 s. doty			No Street full closure
1866			10300 s. doty			No Street full closure
1867			10300 s. doty			No Street full closure
1868			chicago o'hare international airport remote lot e.			No Street full closure
1869			10300 s. doty			No Street full closure
1870			10300 s. doty			No Street full closure
1871			10300 s. doty			No Street full closure
1872			10300 s. doty			No Street full closure
1873			10300 s. doty			No Street full closure
1874			10300 s. doty			No Street full closure
1875			10300 s. doty			No Street full closure
1876			10300 s. doty			No Street full closure
1877			10300 s. doty			No Street full closure
1878			10300 s. doty			No Street full closure
1879			10300 s. doty			No Street full closure
1880			10300 s. doty			No Street full closure
1881			10300 s. doty			No Street full closure
1882			10300 s. doty			No Street full closure
1883			10300 s. doty			No Street full closure
1884			701 n. sacramento			No Street full closure
1885			701 n. sacramento			No Street full closure
1886			10300 s. doty			No Street full closure
1887			10300 s. doty			No Street full closure
1888			10300 s. doty			No Street full closure
1889			10300 s. doty			No Street full closure
1890			10300 s. doty			No Street full closure
1891			701 n. sacramento			No Street full closure
1892			10300 s. doty			No Street full closure
1893			400 e. lower wacker			No Street full closure
1894			701 n. sacramento			No Street full closure
1895			701 n. sacramento			No Street full closure
1896			10300 s. doty			No Street full closure
1897			10300 s. doty			No Street full closure
1898			400 e. lower wacker			No Street full closure
1899			10300 s. doty			No Street full closure
1900			701 n. sacramento			No Street full closure
1901			10300 s. doty			No Street full closure
1902			10300 s. doty			No Street full closure
1903			10300 s. doty			No Street full closure
1904			10300 s. doty			No Street full closure
1905			701 n. sacramento			No Street full closure
1906			10300 s. doty			No Street full closure
1907			701 n. sacramento			No Street full closure
1908			10300 s. doty			No Street full closure
1909			701 n. sacramento			No Street full closure
1910			10300 s. doty			No Street full closure
1911			10300 s. doty			No Street full closure
1912			10300 s. doty			No Street full closure
1913			10300 s. doty			No Street full closure
1914			701 n. sacramento			No Street full closure
1915			701 n. sacramento			No Street full closure
1916			10300 s. doty			No Street full closure
1917			chicago o'hare international airport remote lot e.			No Street full closure
1918			10300 s. doty			No Street full closure
1919			701 n. sacramento			No Street full closure
1920			701 n. sacramento			No Street full closure
1921			10300 s. doty			No Street full closure
1922			10300 s. doty			No Street full closure
1923			10300 s. doty			No Street full closure
1924			10300 s. doty			No Street full closure
1925			701 n. sacramento			No Street full closure
1926			10300 s. doty			No Street full closure
1927			10300 s. doty			No Street full closure
1928			10300 s. doty			No Street full closure
1929			10300 s. doty			No Street full closure
1930			701 n. sacramento			No Street full closure
1931			10300 s. doty			No Street full closure
1932			701 n. sacramento			No Street full closure
1933			701 n. sacramento			No Street full closure
1934			701 n. sacramento			No Street full closure
1935			701 n. sacramento			No Street full closure
1936			10300 s. doty			No Street full closure
1937			10300 s. doty			No Street full closure
1938			10300 s. doty			No Street full closure
1939			10300 s. doty			No Street full closure
1940			10300 s. doty			No Street full closure
1941			701 n. sacramento			No Street full closure
1942			10300 s. doty			No Street full closure
1943			10300 s. doty			No Street full closure
1944			10300 s. doty			No Street full closure
1945			10300 s. doty			No Street full closure
1946			10300 s. doty			No Street full closure
1947			701 n. sacramento			No Street full closure
1948			10300 s. doty			No Street full closure
1949			701 n. sacramento			No Street full closure
1950			10300 s. doty			No Street full closure
1951			10300 s. doty			No Street full closure
1952			701 n. sacramento			No Street full closure
1953			10300 s. doty			No Street full closure
1954			701 n. sacramento			No Street full closure
1955			701 n. sacramento			No Street full closure
1956			701 n. sacramento			No Street full closure
1957			400 e. lower wacker			No Street full closure
1958			701 n. sacramento			No Street full closure
1959			10300 s. doty			No Street full closure
1960			701 n. sacramento			No Street full closure
1961			701 n. sacramento			No Street full closure
1962			10300 s. doty			No Street full closure
1963			10300 s. doty			No Street full closure
1964			10300 s. doty			No Street full closure
1965			701 n. sacramento			No Street full closure
1966			10300 s. doty			No Street full closure
1967			10300 s. doty			No Street full closure
1968			10300 s. doty			No Street full closure
1969			701 n. sacramento			No Street full closure
1970			10300 s. doty			No Street full closure
1971			10300 s. doty			No Street full closure
1972			10300 s. doty			No Street full closure
1973			10300 s. doty			No Street full closure
1974			10300 s. doty			No Street full closure
1975			701 n. sacramento			No Street full closure
1976			10300 s. doty			No Street full closure
1977			10300 s. doty			No Street full closure
1978			10300 s. doty			No Street full closure
1979			10300 s. doty			No Street full closure
1980			10300 s. doty			No Street full closure
1981			701 n. sacramento			No Street full closure
1982			10300 s. doty			No Street full closure
1983			701 n. sacramento			No Street full closure
1984			701 n. sacramento			No Street full closure
1985			701 n. sacramento			No Street full closure
1986			701 n. sacramento			No Street full closure
1987			701 n. sacramento			No Street full closure
1988			10300 s. doty			No Street full closure
1989			10300 s. doty			No Street full closure
1990			701 n. sacramento			No Street full closure
1991			701 n. sacramento			No Street full closure
1992			701 n. sacramento			No Street full closure
1993			701 n. sacramento			No Street full closure
1994			701 n. sacramento			No Street full closure
1995			701 n. sacramento			No Street full closure
1996			10300 s. doty			No Street full closure
1997			10300 s. doty			No Street full closure
1998			701 n. sacramento			No Street full closure
1999			10300 s. doty			No Street full closure
2000			10300 s. doty			No Street full closure
2001			10300 s. doty			No Street full closure
2002			10300 s. doty			No Street full closure
2003			10300 s. doty			No Street full closure
2004			701 n. sacramento			No Street full closure
2005			10300 s. doty			No Street full closure
2006			701 n. sacramento			No Street full closure
2007			10300 s. doty			No Street full closure
2008			701 n. sacramento			No Street full closure
2009			701 n. sacramento			No Street full closure
2010			10300 s. doty			No Street full closure
2011			701 n. sacramento			No Street full closure
2012			701 n. sacramento			No Street full closure
2013			701 n. sacramento			No Street full closure
2014			10300 s. doty			No Street full closure
2015			10300 s. doty			No Street full closure
2016			10300 s. doty			No Street full closure
2017			10300 s. doty			No Street full closure
2018			10300 s. doty			No Street full closure
2019			10300 s. doty			No Street full closure
